Text,Target
сургуульд сурах болсон,мэргэжил дээшлүүлэхээр
сургуульд сурах болсон тул,мэргэжил дээшлүүлэхээр
сургуульд сурах шалтгаанаар,мэргэжил дээшлүүлэхээр
сургуульд сурахаар,мэргэжил дээшлүүлэхээр
сургуульд сурахаар болсон,мэргэжил дээшлүүлэхээр
сургуульд сурахаар явсан,мэргэжил дээшлүүлэхээр
сургуульд сурсан,мэргэжил дээшлүүлэхээр
сургуульд сурхаар,мэргэжил дээшлүүлэхээр
сургуульд сурхаар болсон,мэргэжил дээшлүүлэхээр
сургуульд явсан,мэргэжил дээшлүүлэхээр
сурсан,мэргэжил дээшлүүлэхээр
сурхаар,мэргэжил дээшлүүлэхээр
сурч байгаа,мэргэжил дээшлүүлэхээр
сурч байсан,мэргэжил дээшлүүлэхээр
сууршил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
суурьшил,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
сэлэнгэд шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
татан буугдсан,халагдсан
томилолт дууссан,гэрээний хугацаа дууссан
томилолтын хугацаа дууссан,гэрээний хугацаа дууссан
туслах багшаар ажиллах,дэвшин ажиллахаар
туслах багшаар ажлах,дэвшин ажиллахаар
тухайн байгууллага хувьд шилжсэн,халагдсан
тухайн байгууллагын хүсэлтийг харгалзан,халагдсан
тушаал дэвшин ажилласан,дэвшин ажиллахаар
тушаал дэвшсэн,дэвшин ажиллахаар
тушаалаар,халагдсан
тушаал№101,халагдсан
тэкридээ аваад гарсан улсын байгуулагад ажиллах сонирхолтой байсан,жирэмсний амралт
тэтгэврийн даатгалын шимтгэлийг нөхөн тооцсон,тэтгэвэрт гарсан
тэтгэвэр,тэтгэвэрт гарсан
түр,хүний оронд түр ажиллаж байсан
түр ажил,хүний оронд түр ажиллаж байсан
түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр ажиллаж байсан тул,хүний оронд түр ажиллаж байсан
түр ажиллаж байсан тул орон тоогүй болсон,хүний оронд түр ажиллаж байсан
түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр ажилласан,хүний оронд түр ажиллаж байсан
түр ажилтан,хүний оронд түр ажиллаж байсан
түр ажлын байр байсан,хүний оронд түр ажиллаж байсан
түр ажлын байранд ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр ажлын байрнаас чөлөөлсөн,хүний оронд түр ажиллаж байсан
түр албан тушаал учир,хүний оронд түр ажиллаж байсан
түр орлон,хүний оронд түр ажиллаж байсан
түр орлон гүйцэтгэх,хүний оронд түр ажиллаж байсан
түр орлон зааж байсан,хүний оронд түр ажиллаж байсан
түр орон тоо,хүний оронд түр ажиллаж байсан
түр орон тоо дээр,хүний оронд түр ажиллаж байсан
түр орон тоон дээр ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр орон тоон дээр ажилласан,хүний оронд түр ажиллаж байсан
түр орон тоонд,хүний оронд түр ажиллаж байсан
түр орон тоонд ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр орон тоонд ажилласан,хүний оронд түр ажиллаж байсан
түр орон тоонд байсан,хүний оронд түр ажиллаж байсан
түр орон тоонд байсан тул ажлаас чөлөөлөгдсөн,хүний оронд түр ажиллаж байсан
түр орон тооноос,хүний оронд түр ажиллаж байсан
түр тушаалаар ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр тушаалаар ажилласан,хүний оронд түр ажиллаж байсан
түр хугацаа,хүний оронд түр ажиллаж байсан
түр хугацаагаар ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр хугацаагаар ажилласан,хүний оронд түр ажиллаж байсан
түр хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
түр хүний оронд байсан,хүний оронд түр ажиллаж байсан
түр чөлөө авсан,ажиллаж байгаа
түрээс өндөр,өөрийн хүсэлтээр
төв аймаг шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
төгссөн,өөрийн хүсэлтээр
төгсөлт давхцсан,өөрийн хүсэлтээр
төрийн албанд орох,өөрийн хүсэлтээр
төрийн байгууллага,өөрийн хүсэлтээр
төрийн байгууллагад ажиллах,өөрийн хүсэлтээр
төрийн байгууллагад орох,өөрийн хүсэлтээр
төрийн байгууллагад орох болсон,өөрийн хүсэлтээр
төрийн байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
төрийн байгууллагд орсон,өөрийн хүсэлтээр
төрийн өмчийн цэцэрлэгт орсон,нутаг дотроо шилжин ажиллахаар болсон
төрийн өмчийн байгууллагад ажиллах,өөрийн хүсэлтээр
төрийн өмчийн сургуульд орох,өөрийн хүсэлтээр
төрийн өмчийн цэцэрлэгт ажилд орохоор,өөрийн хүсэлтээр
төрийн өөр байгууллагад ажиллахаар болсон,өөрийн хүсэлтээр
төрийн өөр байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
төрийн өөр байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
төрсөн,жирэмсний амралт
төрсөн хүний орон тоонд ажиллаж байсан,хүний оронд түр ажиллаж байсан
төрсөн хүний оронд түр ажиллаж байсан тул,хүний оронд түр ажиллаж байсан
төрсөн хүүхдээ харах гэж,жирэмсний амралт
төрөх,жирэмсний амралт
төрөх хугацаа болсон,жирэмсний амралт
төсвийн байгууллагад ажилд орохоор,өөрийн хүсэлтээр
төсөл дууссан,гэрээний хугацаа дууссан
уб хотод шилжин ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
удирдлагын акадимд сурсан,мэргэжил дээшлүүлэхээр
уирэмсэний амралтаа аваад,жирэмсний амралт
улаанбаатар хот руу шилжиж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хот руу шилжин ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хот руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хот шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хотруу,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хотруу шилжихээр болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар хотруу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатар шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаанбаатарлуу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улаахбаатар хотруу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
улирлын чанартай ажил үйлчилгээ,халагдсан
улирлын шинжтэй,халагдсан
улс төрийн бодлого,халагдсан
улсад ажилд орох,өөрийн хүсэлтээр
улсын байгуулагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
улсын байгууллагад ажилд орох тул,өөрийн хүсэлтээр
улсын байгууллагад ажилд орсон,өөрийн хүсэлтээр
улсын байгууллагад орох,өөрийн хүсэлтээр
улсын байгууллагад шилжих,нутаг дотроо шилжин ажиллахаар болсон
улсын байгууллагад шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
улсын сургуульд ажиллах хүсэлтэй учраас өөрийн хүсэлтээр чөлөөлөгдсөн,өөрийн хүсэлтээр
улсын сургуульд орох хүсэлтэйгээр,өөрийн хүсэлтээр
улсын цэцэрлэгт орсон,өөрийн хүсэлтээр
урагшаа явах болоод,гадаад улс руу шилжин ажиллахаар болсон
урт хугацаагаар хадланд гарсан,өөрийн хүсэлтээр
халагдсан,халагдсан
ханбогд сумруу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хатгал ебс захирлаар томилогдсон,дэвшин ажиллахаар
хол учир,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот ру ушилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот руу гэр бүлээрээ шилжилт хөдөлгөөн хийсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот руу нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот руу шилжих,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот уруу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хот шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотод шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотод шилжин ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотод шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шидлжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжиж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжилт хөдөлгөөн хийсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжихээр болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотруу шилжсэн тул,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хотын хүнтэй гэр бүл болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хуваираа,өөрийн хүсэлтээр
хувиараа,өөрийн хүсэлтээр
хувиараа ажил хийсэн,өөрийн хүсэлтээр
хувиараа ажил хийх,өөрийн хүсэлтээр
хувиараа ажил хийх зорилгоор,өөрийн хүсэлтээр
хувиараа ажил эрхлэх болсон,өөрийн хүсэлтээр
хувиараа ажил эрхлэхээр гарсан,өөрийн хүсэлтээр
хувиараа ажилласан,өөрийн хүсэлтээр
хувиараа ажиллах,өөрийн хүсэлтээр
хувиараа ажиллих,өөрийн хүсэлтээр
хувиараа бизнес хийх,өөрийн хүсэлтээр
хувиараа бизнес эрхлэх,өөрийн хүсэлтээр
хувиараа бизнес эрхэлсэн,өөрийн хүсэлтээр
хувиараа орчуулагч хийх,өөрийн хүсэлтээр
хувиараа сургалтын төв байгуулах,өөрийн хүсэлтээр
хувиараа худалдаа хийх зорилгоор,өөрийн хүсэлтээр
хувиараа хөдөлмөр эрхлэх,өөрийн хүсэлтээр
хувиараа хөдөлмөр эрхлэхээр,өөрийн хүсэлтээр
хувиараа хөдөлмөр эрхэлсэн,өөрийн хүсэлтээр
хувиараа хөдөлмөр эрхэлхээр,өөрийн хүсэлтээр
хувийн,өөрийн хүсэлтээр
хувийн аж ахуй эрхлэх,өөрийн хүсэлтээр
хувийн ажил хийхээр,өөрийн хүсэлтээр
хувийн ажлаар,өөрийн хүсэлтээр
хувийн ажлаар жилийн чөлөө авсан,өөрийн хүсэлтээр
хувийн амьдралын шаардлагаар,өөрийн хүсэлтээр
хувийн асуудлаар,өөрийн хүсэлтээр
хувийн байгууллагат ажиллахаар гарсан,өөрийн хүсэлтээр
хувийн байгуулланаас төрийн байгууллагад шилжиж орсон,өөрийн хүсэлтээр
хувийн бизнес эрхлэхээр,өөрийн хүсэлтээр
хувийн бизнес эрхэлсэн,өөрийн хүсэлтээр
хувийн сургуулийн сонгон шалгаруулалтад тэнцсэн,өөрийн хүсэлтээр
хувийн сургуульд,өөрийн хүсэлтээр
хувийн хүсэлтйг үндэслэн,өөрийн хүсэлтээр
хувийн хүсэлтээр,өөрийн хүсэлтээр
хувийн хөдөлмөр эрхлэх,өөрийн хүсэлтээр
хувийн цэцэрлэгт ажиллах,өөрийн хүсэлтээр
хувийн цэцэрлэгт арга зүйчээр орсон,өөрийн хүсэлтээр
хувийн цэцэрлэгт орсон,өөрийн хүсэлтээр
хувийн шалгаанаар,өөрийн хүсэлтээр
хувийн шалгтгаанаар,өөрийн хүсэлтээр
хувийн шалтгаан,өөрийн хүсэлтээр
хувийн шалтгаанаар,өөрийн хүсэлтээр
хувийн шалтгаанаар гарсан,өөрийн хүсэлтээр
хувийн шалтгааны улмаас,өөрийн хүсэлтээр
хувийн өргөдөл хүсэлтийг үндэслэн,өөрийн хүсэлтээр
хувираа,өөрийн хүсэлтээр
хувираа хөдөлмөр эрхэлхээр,өөрийн хүсэлтээр
хувьд шилжсэн,халагдсан
хувьчлалаар гарсан,халагдсан
худалдаа бэлтгэлийн анги,мэргэжил дээшлүүлэхээр
хуувиараа хөдөлмөр эрхэлхээр,өөрийн хүсэлтээр
хэвлэх үйлдвэрт ажиллахаар,өөрийн хүсэлтээр
хэлний шалгалтад бэлтгэх,өөрийн хүсэлтээр
хэнтий аймагт ажилд орсон,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хятад улс руу ажиллахаар явсан,гадаад улс руу шилжин ажиллахаар болсон
хүн асрах шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүний орон тоон дээр түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд,хүний оронд түр ажиллаж байсан
хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд ажилла ж байсан,хүний оронд түр ажиллаж байсан
хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд ажилласан,хүний оронд түр ажиллаж байсан
хүний оронд ажилласан,хүний оронд түр ажиллаж байсан
хүний оронд байсан,хүний оронд түр ажиллаж байсан
хүний оронд түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд түр ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүний оронд түр байсан,хүний оронд түр ажиллаж байсан
хүний оронд цагийн багш,хүний оронд түр ажиллаж байсан
хүсэлтийн дагуу,өөрийн хүсэлтээр
хүсэлтээр,өөрийн хүсэлтээр
хүсэлтээрээ,өөрийн хүсэлтээр
хүү сургуульд ороод,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ асрах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ асрах шаардлагатай болсон тул ажлаасаа гарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ асрахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ харах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ харах шаардлага гараад,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ харахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдээ харж байгаа хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
хүүхдээ харсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдүүд ээ сургуульд авч явах болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхдүүдээ дагаад хотод орж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд асрах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд асрах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд асрах хүнгүй,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд асрах чөлөө авсан,жирэмсний амралт
хүүхэд асрах чөлөөтэй байгаа,жирэмсний амралт
хүүхэд гаргаж ажлаас чөлөөлөгдсөн,халагдсан
хүүхэд гаргасан,жирэмсний амралт
хүүхэд төрүүлсэн,жирэмсний амралт
хүүхэд төрүүлэх,жирэмсний амралт
хүүхэд харах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд харах гээд,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд харах хүнгүй,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд харах чөлөөтэй,жирэмсний амралт
хүүхэд харахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэд хүргэж авах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хүүхэл харахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөвсгөл эрдэнэбулган ерөнхий боловсролын сургуульд шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөлмөрийн гэрээ дуссан,гэрээний хугацаа дууссан
хөдөлмөрийн гэрээ цуцалсан,халагдсан
хөдөлмөрийн гэрээний түр хугацаатай ажиллаж байсан,гэрээний хугацаа дууссан
хөдөө аймагт ажиллах хүсэлтэй байсан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөө амьдрахаар явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө гарсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө мал маллахаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө малчин болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө нүүсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө орон нутаг руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө орон нутаг шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө орон нутагт ажиллах,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөө орон нутагт ажиллах сонирхолтой,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөө орон нутагт ажиллах хүсэлтэй,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөө орон нутагт очсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө орон нутагт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө орон нутгаас улаанбаатар руу шилжсэн,хот суурин газар руу шилжин ажиллахаар болсон
хөдөө сарын хугацаатай явахшаардлага гарсан,өөрийн хүсэлтээр
хөдөө шилжиж ажилласан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
хөдөө шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөдөө явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
хөнгөн ажилд шилжих,хөдөө орон нутаг руу шилжин ажиллахаар болсон
цаг хүрэлцэхгүй болсон,өөрийн хүсэлтээр
цагийн багш,гэрээний хугацаа дууссан
цагийн багш хүний оронд,хүний оронд түр ажиллаж байсан
цагийн багшаар ажиллаж байсан,гэрээний хугацаа дууссан
цалин бага,өөрийн хүсэлтээр
цалин багассан,өөрийн хүсэлтээр
цомхотгол,халагдсан
цомхтголоор,халагдсан
цэцэрлэг буулган шинээр барих,халагдсан
цэцэрлэг татан буугдсан,халагдсан
цэцэрлэгийн багшаар ажиллахаар болно,өөрийн хүсэлтээр
цэцэрлэгийн багшийн сургуульд орсон,мэргэжил дээшлүүлэхээр
цэцэрлэгийн эрхлэгчээр томилогдсон,дэвшин ажиллахаар
цэцэрлэгийн эрхлэгчээр томилогдсон тул,дэвшин ажиллахаар
цэцэрлэгрүү шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
цэцэрлэгт ажилд орох хүсэлтээр,өөрийн хүсэлтээр
цэцэрлэгт ажиллахаар,өөрийн хүсэлтээр
цэцэрлэгт ажиллахаар болсон,өөрийн хүсэлтээр
цэцэрлэгт орох,өөрийн хүсэлтээр
цэцэрлэгт эрхлэгчээр ажиллах болсон,дэвшин ажиллахаар
чөлөө,ажиллаж байгаа
чөлөөлсөн,халагдсан
чөлөөлөгдөх,халагдсан
шаамар сумын 2 дугаар цэцэрлэгийн эрхлэгчийн үүргийг түр орлон гүйцэтгэхээр,хүний оронд түр ажиллаж байсан
шавь цогцолбор сургуульд мэргэжлийн чиглэлээр ажиллах,өөрийн хүсэлтээр
шилж сэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжиж орхон аймагт ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжиж ажилласан,хөдөө орон нутаг руу шилжин ажиллахаар болсон
шилжиж ирсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжиж суурьшсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжиж явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжижи явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн хийгдсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн хиив,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн хийгдсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн хийгдсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөн хийсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөнд орсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжилт хөдөлгөөний улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин сууршсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин суурьших,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин суурьшсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин сууурьшсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжин явсан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих хүсэлт гаргасан,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих хөдөлгөөн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих хөдөлгөөн хийгдсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжих хөдөлгөөний улмаас,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
шилжихээр,нутаг дотроо шилжин ажиллахаар болсон
шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
шилжэн,нутаг дотроо шилжин ажиллахаар болсон
шилсэн,нутаг дотроо шилжин ажиллахаар болсон
шинэ ажил шилжих,өөрийн хүсэлтээр
шинэ ажилд орсон,өөрийн хүсэлтээр
шинэ цэцэрлэгт бүлгийн багшийн сонгои шалгаруулалтанд тэнцсэн тул цбсцогцолбор луу шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
элсэгч багатай хичээлийн цаг байхгүй,халагдсан
эмчилгээ,эрүүл мэндийн улмаас
эмчилгээ хийлгэх,эрүүл мэндийн улмаас
эмчилгээнд явах болсон тул,эрүүл мэндийн улмаас
эрдэнэт хот руу шилжсэн,хөдөө орон нутаг руу шилжин ажиллахаар болсон
эрхлэгч болсон,дэвшин ажиллахаар
эрхлэгчийн тушаалаар,халагдсан
эрхлэгчээр ажиллахаар,дэвшин ажиллахаар
эрхлэгчээр томилогдсон,дэвшин ажиллахаар
эрүүл мэнд,эрүүл мэндийн улмаас
эрүүл мэндийн,эрүүл мэндийн улмаас
эрүүл мэндийн байдлаас,эрүүл мэндийн улмаас
эрүүл мэндийн байдлаар,эрүүл мэндийн улмаас
эрүүл мэндийн байдлаар хот шилжсэн,эрүүл мэндийн улмаас
эрүүл мэндийн байдлаас,эрүүл мэндийн улмаас
эрүүл мэндийн улмаас,эрүүл мэндийн улмаас
эрүүл мэндийн улмаас груп тогтоолгож түр чөлөө авсан,эрүүл мэндийн улмаас
эрүүл мэндийн шалгаантай,эрүүл мэндийн улмаас
эрүүл мэндийн шалтгаан,эрүүл мэндийн улмаас
эрүүл мэндийн шалтгаанаар,эрүүл мэндийн улмаас
эрүүл мэндийн шалтгаанаар,эрүүл мэндийн улмаас
эрүүл мэндийн шалтгаанаар гарсан,эрүүл мэндийн улмаас
эрүүл мэндийн шалтгаанаар эмчлүүлэх болсон,эрүүл мэндийн улмаас
эрүүл сэндийн шалтгаан,эрүүл мэндийн улмаас
эхийн чөлөөтэй хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
эхнэрийн эрүүл мэндийн шалтгаанаар уб т эмчлүүлхээр болсон,эрүүл мэндийн улмаас
ээж хүнд өвчилсөн асарч байгаа,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ээжийгээ асрах,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ээжийн биеийн эрүүл мэндийн шалтгаанаар,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
ээлжийн амралттай хүний оронд ажиллаж байсан,хүний оронд түр ажиллаж байсан
ээлжийн бүлэгт ажилласан,хүний оронд түр ажиллаж байсан
япон явсан,гадаад улс руу шилжин ажиллахаар болсон
үйлдвэр татан буугдсан,халагдсан
үндсн ажилдаа орсон,дэвшин ажиллахаар
үндсэн багш нь ирсэн тул чөлөөлөгдсөн,хүний оронд түр ажиллаж байсан
үндсэн багшаар 127 дугаар сургуульд орох,нутаг дотроо шилжин ажиллахаар болсон
үндсэн орон тооны багш ажилдаа орсон,хүний оронд түр ажиллаж байсан
үргэлжлүүлэн сурсан,мэргэжил дээшлүүлэхээр
үндсэн мэргэжлээрээ ажиллахын тулд,өөрийн хүсэлтээр
өрийн хүсэлтээр,өөрийн хүсэлтээр
өар ажилд шилжсэн,нутаг дотроо шилжин ажиллахаар болсон
өарийн хүсэлтээр,өөрийн хүсэлтээр
өвчин,эрүүл мэндийн улмаас
өвчний улмаас,эрүүл мэндийн улмаас
өвчний улмаас албан тушаал өөрчлөгдсөн,эрүүл мэндийн улмаас
өвчний учраас харшилын өвчний улмаас,эрүүл мэндийн улмаас
өвөрхангай аймаг руу жилжих болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өвөрхангай аймгийн хархорин сум руу сум руу гэр бүлийн хамт шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өвөрхангай баянөндөр сум руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өлзийт суманд шилжин амьдрах болсон,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өмнөговь 11р цэцэрлэг,хөдөө орон нутаг руу шилжин ажиллахаар болсон
өмнөговь аймгийн ханбогд сум руу шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өмнөговь шилжилсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
өмнөговь шилжсэн,"ар гэр бүл, амьдрах орчин, амьдралын өөрчлөлт"
